vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
À,Bớh,Bớh,,,,Bru.txt
Ai,Nơau,Nào,"Ta ngái nái, lưp hái bữn nơau ắq mơat tỡ bữn?",Ta-ngay nay ỉưp hay bưn nao ắ-q mặt tơ bưn ?,"Hôm nay, lớp chúng ta có ai vắng không?",Bru.txt
"Ái nam, ái nữ",Mong,Moong,"ơq! Hếq mũ sễm tắk au klok, kôn ramơong, tin kờp kasái savar","Ợ7 Hể-q mu xem tắc ao cơ-ỉoc, côn ra-mong, tin cơp ca-xay xa-var.","Dạ! Chúng em mang áo trắng, quân xanh, đi dép quai hậu.",Bru.txt
An ủi,Aliam mứt luam,A-liam mứt loam,Aliam mứt luam,A-ỉiam mứt loam,An ủi,Bru.txt
An ủi,Aliam,Aliam,,,,Bru.txt
Anh,Ai,Ài,,,,Bru.txt
Anh dũng,Khếh karianh,khểh ca-rian,,,,Bru.txt
Anh em cọc chèo,Pual ái,poal ay,,,,Bru.txt
Anh hùng,Karianh o,ca-rian ò,Máh mũ a-ễm bữn samớm chanchớm la,Máh mu a-em bưn xar-nâm chan-châm ỉà,Chúng em đều có cảm nghĩ rằng,Bru.txt
Anh rể (đàn bà gọi),Sai,Xai,,,,Bru.txt
Anh rể (đan ông gọi),Mahai,ma hai,,,,Bru.txt
Anh ruột,Ai ruaiq (amiang),ài roái,"Kon klúng ai la kon mansễm mă kon samiang, kumo nái sếq chô kumo chơ ?","Con cờ-ỉung ai ỉa con măn-xem mà con xa-mỉang,cu- mo nay xểq chô cu-mo chơ ?","Con đầu của anh là con trai hay con gái, năm nay bao nhiêu tuổi rồi ?",Bru.txt
Ao,Amống,A mống,"Mắq bữn máh klóng talĩng put khỗ riang klóng talĩng Sông ,klóng talĩng Kăk","mà bưn máh cờ-lóng ta-lỉngput khô riang cờ-ỉóng ta-lỉng Sung, cờ-lóng taỉỉng Cóc","Nhưng có các hồ lớn như hồ Sung , hồ Cóc",Bru.txt
Áo,Au,Ao,,,,Bru.txt
Ào ào,Hĩau Hĩau,hiau hiau,,,,Bru.txt
Ào ào ( ầm ầm),Tơom tơom,Tòm tòm,Bar song dỡq put tê plõ’ kóh sarỡih satrúh tơom tơom asễng chu tĩn klok lalár riang bar lám paluak achĩang lứq nêuq,Bar xong đợq put tê pờ-lơ cóh xa-rơih xa-trủh tòm tòm a-xeng chu tin cơ- loc la-ỉãr riang bar lăm pa-ỉoạc a-chiang ỉửq nệuq,Hai dòng nước lớn từ đỉnh núi cao âm âm đô xuống chân thác trắng xóa như hai chiêc ngà voi trông rất đẹp,Bru.txt
Áo ấm,Au Sa-âm,Ao xa-âm,Kỗ nắq sễm tuỗt au sa-âm?,Cô ân-nã-q xem tuôt ao xa-âm ?,Tại sao em cởi áo ấm?,Bru.txt
Ao cá,Amống sĩaq,a môông xiá,,,,Bru.txt
Áo dài,Au tuar,ao tuar,,,,Bru.txt
Áo nữ,Ayơăh,a dơaq,"Tâmpắk mansễm Brũ Vân kiêu dốq tắk la sakât sớn Tamúk,sóp ayơăh Sanún, kớp plỡ chĩng khán Dam.","Tâm-păc măn-sem Brũ Vân Kiều đổq tắc lá xa-cât sân Ta-Mục, sấp a-dăh Xà-Nùn cập pờ-lơ ching khăn Đam.","Trang phục phụ nữ Brũ Vân Kiều thường mặc là mang váy Ta-Mục,mặc áo Xa-Nùn và đầu chít khăn Đam",Bru.txt
Áo sơ mi,Au atĩ tuang,ao a ti toang,,,,Bru.txt
Áo vét,Au vễt,ao vét,,,,Bru.txt
"Áo, áo nữ","Au , Ayoăh,","Ao, A-dăh","Tâng tỗ ayoăh Sanún,mpứng dĩ tatia bữn bar lansor nũôt yat téh tâng lơap dam kusáu tanh pachĩr.","Tâng tô a-dăh Xà-Nùn,âm-pừng đi ta-tỉa bưn bar ỉan- sor nuôt dat téh tâng lặp dam cu-xau tanh pa-chỉr","Trên than áo Xà-nùn, ở giữa ngực có hai hàng nút bạc đính chặt vào cạp lụa đỏ có thêu hoa văn.",Bru.txt
"Ẵmm, Bế",Ka-ữ,ca ưư,,,,Bru.txt
Ăn,"Cha	""",Cha,Mũ hái chỗi rơăh pánh nhéq sarán arưih la kỗ kariaq,Mu hay chôi răh pảnh nhẻq xa-rản a-rưih ỉa cô ca-rỉaq xa-rản a-rưỉh ỉa man-tắt ca-rỉaq pang ơt cha hay bưm ?,Chúng ta không được săn bắt thú rừng bởi vì bảo vệ thú rừng chính là bảo vệ cuộc sống của chúng ta .,Bru.txt
Ăn cắp,Ta tuôiq,ta tuối-q,,,,Bru.txt
Ăn cơm,Cha dỗi,Cha đôi,ơq ! Hái ĩt tuôh tangan cha dỗi.,Ợq ! Hay it tuôh ta-ngan cha đôi,Dạ! Chúng ta dùng chén đũa để ăn cơm.,Bru.txt
Ăn măc,Tắk cha,Tấc cha,"Tabữ nái, mũ sễm tắk tễng krơng nnăq?","Ta-bư nay, mu xem tắc teng ca-rờng ân-nã-q ?","Chiều nay, các em ăn mặc như thế nào?",Bru.txt
Ăn ở,ỡt cha,ớt cha,"Thưa avia karu! La-ữt xa-ưi tangái ,kasâi bữn pang rapuq ralôq^ dỡq put táq khlỗi dống SŨ, rúng ralốh sarnóh sarbong, táq yỗn pang ỡt cha kũai prơai ramóh sa-ữi túh kơat.","Thưa a-via cà-rùỉLa-ưtxa-ưi ta-ngay ca-xây bưn pang ra-pụq ra-ỉộq đợq put tảq kh-ỉôi đông xũ, rùng ra-ỉôh sar-nóh sar-bông, tảq dôn pang ơt cha coaỉ pray ra- móh xa-ưi túh cặt.","Thưa cô! ngày càng nhiều trận bão lũ, lụt lớn làm trôi nhà của,hư hại hoa màu, làm cho đời sống người dân gặp nhiều khó khăn.",Bru.txt
Ăn uống,Cha chók,Cha chóc,ơq! Koq hếq mũ sễm cha chók bráh brĩêl,ơq! cỏq hểq mu xem cha chóc brảh brỉêỉ,Dạ! Chúng em phải ăn uống họp vệ sinh,Bru.txt
Ầm,Ralơâm,ra lâm,Tatỡng ralơâm ralứk,Ta-tơng ra-ỉâm ra-ỉực,Nói chuyện ồn ào,Bru.txt
Ấm,Thớm,thâm,Thớm,Thâm,Ném,Bru.txt
ấm (tt),Sa-âm,xa âm,"Katữ leng sangễt, mũ a-ễm kóq sớp yỗn sa-âm nơ !","Ca-tư leng xci-nghet, mu a-em cỏq xáp dôn xa-âm nơ!","Vàomùa đông, các em phải mặc cho ấm nhé!",Bru.txt
"ậm à, ậm ờ","Tưl vưl, ngứl ngungứl","tưl vưl,ngưl ngun ngưl",,,,Bru.txt
ầm ầm,Tangkưr,tăng kưr,,,,Bru.txt
Âm ĩ,Kái pakái,cáy pa cay,,,,Bru.txt
ầm ĩ,Ralơăm ralứk,ra lâm ra lức,,,,Bru.txt
Ấm no,Pasâi sa-âm,Pa-xây xa-âm,,,,Bru.txt
Âm thanh,Sa mữơng,xa mương,,,,Bru.txt
ấp,Viang put,viang pùt,"Tâng máh kumo 1958 - 1959, Míq Yiêm dừng máiq kứl kũai tuô bon, ỡt Hương An (Sáq Hương Tân tiaq) chơak chóh dỗn, chóh viang put nơân viq kũai vil",,"Trong những năm 1958-1959, Mỹ - Diệm lê mảy chém khăp nơi, ở Hướng An (xã Hướng Tân cũ) địch xây đôn, lập ấp chiến lược đế vây ẻp bà con.",Bru.txt
ập đến,Parlưh,par lưk,,,,Bru.txt
Bà,"Ayơaq, yơaq",A-dã,"Mpiq kayak, tỡ ễn la mu náq kũai ayơaq thâu tâng tàng kayák táq rit sarơah ayững yỗn niang chám dông","Ầm-pịq ca-dac, tơ en la mu nàq coaì a-dảq thâu tâng tăng ca-dac tảq ritxa-rah a-dung dôn niang chăm đông",Mẹ chồng hoặc là một người bà lớn tuôi trong họ nhà trai sẽ làm lễ rửa chân cho cô dâu.,Bru.txt
Ba (3),Pái,Pay,Bữn pái chứt lapái náq.,Bưn pay chứt ỉa-pay nả-q,Có ba mươi ba bạn.,Bru.txt
